item	itemLabel	class	classLabel
http://www.wikidata.org/entity/L1331010	L1331010	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/L1331011	L1331011	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/L1459952	L1459952	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/L498539	L498539	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/L1524920	L1524920	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q2083143	aam	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q4027646	Q4027646	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q13135586	Q13135586	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q13414935	zijl	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q21866997	Lugdunum	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q31883833	Q31883833	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q69873245	Du-	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q69873402	Des-	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q76882568	Vande-	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q114987593	en	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q116693104	Ichthys	http://www.wikidata.org/entity/Q62155	affix
http://www.wikidata.org/entity/Q1258618	van	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
http://www.wikidata.org/entity/Q4540585	't	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
http://www.wikidata.org/entity/Q11071485	de	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
http://www.wikidata.org/entity/Q66566235	d'	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
http://www.wikidata.org/entity/Q66725670	de la	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
http://www.wikidata.org/entity/Q69869239	van der	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
http://www.wikidata.org/entity/Q69869384	Van der	http://www.wikidata.org/entity/Q2620828	tussenvoegsel
